Raman Shift (1/cm),Intensity (Counts)
301.431,1543
301.759,1589
302.088,1569
302.416,1557
302.743,1562
303.072,1580
303.4,1558
303.729,1561
304.056,1562
304.384,1548
304.712,1558
305.039,1585
305.368,1547
305.696,1573
306.024,1559
306.351,1578
306.679,1578
307.008,1551
307.335,1547
307.663,1539
307.991,1553
308.318,1543
308.646,1562
308.974,1547
309.301,1569
309.629,1552
309.956,1578
310.284,1541
310.612,1578
310.939,1556
311.267,1563
311.593,1555
311.922,1580
312.25,1588
312.576,1563
312.904,1563
313.231,1578
313.559,1574
313.885,1541
314.213,1549
314.541,1557
314.868,1552
315.196,1543
315.522,1561
315.85,1549
316.176,1567
316.504,1575
316.831,1550
317.159,1581
317.485,1570
317.813,1579
318.139,1518
318.465,1554
318.793,1557
319.12,1545
319.447,1571
319.774,1571
320.101,1561
320.428,1541
320.755,1553
321.082,1548
321.408,1566
321.735,1590
322.062,1551
322.389,1532
322.715,1559
323.042,1546
323.369,1530
323.695,1560
324.021,1573
324.349,1576
324.675,1539
325.001,1566
325.329,1573
325.655,1581
325.981,1557
326.308,1567
326.634,1559
326.96,1561
327.287,1546
327.613,1566
327.939,1553
328.267,1559
328.593,1607
328.918,1541
329.244,1544
329.572,1565
329.898,1588
330.223,1584
330.549,1546
330.876,1589
331.202,1581
331.528,1550
331.854,1560
332.18,1559
332.507,1551
332.833,1586
333.158,1593
333.484,1555
333.81,1556
334.137,1573
334.462,1575
334.788,1548
335.114,1580
335.439,1572
335.765,1567
336.091,1561
336.418,1563
336.743,1580
337.069,1549
337.394,1578
337.72,1585
338.045,1573
338.371,1576
338.696,1554
339.022,1580
339.347,1561
339.673,1554
340,1567
340.325,1564
340.65,1564
340.976,1562
341.301,1590
341.626,1585
341.952,1560
342.277,1554
342.602,1589
342.928,1585
343.253,1587
343.578,1578
343.904,1575
344.229,1566
344.554,1575
344.879,1568
345.204,1589
345.53,1546
345.855,1558
346.179,1553
346.504,1598
346.829,1536
347.154,1575
347.479,1566
347.804,1544
348.129,1560
348.454,1572
348.779,1560
349.104,1571
349.43,1564
349.753,1566
350.078,1561
350.403,1565
350.728,1562
351.053,1563
351.378,1612
351.703,1602
352.026,1581
352.351,1549
352.676,1600
353.001,1581
353.326,1544
353.649,1561
353.974,1584
354.299,1554
354.624,1553
354.949,1574
355.272,1578
355.597,1589
355.921,1552
356.246,1551
356.569,1554
356.894,1607
357.219,1583
357.542,1577
