Raman Shift (1/cm),Intensity (Counts)
301.431,1438
301.759,1413
302.088,1459
302.416,1430
302.743,1418
303.072,1432
303.4,1450
303.729,1438
304.056,1445
304.384,1451
304.712,1431
305.039,1442
305.368,1425
305.696,1394
306.024,1423
306.351,1464
306.679,1428
307.008,1435
307.335,1452
307.663,1436
307.991,1433
308.318,1448
308.646,1458
308.974,1456
309.301,1421
309.629,1407
309.956,1453
310.284,1436
310.612,1441
310.939,1464
311.267,1435
311.593,1425
311.922,1432
312.25,1446
312.576,1444
312.904,1444
313.231,1445
313.559,1441
313.885,1438
314.213,1418
314.541,1453
314.868,1426
315.196,1438
315.522,1457
315.85,1458
316.176,1462
316.504,1446
316.831,1461
317.159,1437
317.485,1431
317.813,1418
318.139,1463
318.465,1428
318.793,1446
319.12,1438
319.447,1436
319.774,1425
320.101,1442
320.428,1424
320.755,1433
321.082,1448
321.408,1439
321.735,1447
322.062,1450
322.389,1424
322.715,1422
323.042,1439
323.369,1428
323.695,1436
324.021,1455
324.349,1438
324.675,1471
325.001,1438
325.329,1420
325.655,1446
325.981,1441
326.308,1444
326.634,1466
326.96,1443
327.287,1457
327.613,1478
327.939,1416
328.267,1452
328.593,1438
328.918,1423
329.244,1439
329.572,1446
329.898,1428
330.223,1402
330.549,1438
330.876,1441
331.202,1434
331.528,1470
331.854,1462
332.18,1464
332.507,1454
332.833,1454
333.158,1439
333.484,1459
333.81,1418
334.137,1461
334.462,1454
334.788,1429
335.114,1434
335.439,1458
335.765,1468
336.091,1463
336.418,1457
336.743,1418
337.069,1463
337.394,1449
337.72,1433
338.045,1443
338.371,1462
338.696,1440
339.022,1456
339.347,1448
339.673,1460
340,1451
340.325,1451
340.65,1432
340.976,1465
341.301,1471
341.626,1457
341.952,1436
342.277,1435
342.602,1448
342.928,1452
343.253,1457
343.578,1476
343.904,1440
344.229,1434
344.554,1465
344.879,1446
345.204,1430
345.53,1456
345.855,1424
346.179,1456
346.504,1449
346.829,1458
347.154,1447
347.479,1462
347.804,1457
348.129,1424
348.454,1443
348.779,1432
349.104,1450
349.43,1460
349.753,1451
350.078,1458
350.403,1467
350.728,1440
351.053,1466
351.378,1450
351.703,1444
352.026,1444
352.351,1442
352.676,1455
353.001,1435
353.326,1432
353.649,1440
353.974,1455
354.299,1466
354.624,1448
354.949,1424
355.272,1453
355.597,1444
355.921,1443
356.246,1469
