Raman Shift (1/cm),Intensity (Counts)
302.468,1129
302.977,1139
303.486,1134
303.995,1144
304.503,1135
305.012,1145
305.521,1147
306.03,1144
306.538,1141
307.047,1145
307.556,1144
308.064,1145
308.573,1141
309.082,1128
309.59,1138
310.097,1128
310.605,1152
311.114,1128
311.622,1142
312.13,1118
312.639,1152
313.147,1131
313.655,1138
314.164,1141
314.672,1142
315.18,1146
315.686,1148
316.195,1136
316.703,1139
317.211,1134
317.719,1143
318.227,1126
318.735,1126
319.241,1129
319.749,1133
320.257,1138
320.765,1138
321.273,1141
321.781,1126
322.287,1135
322.794,1144
323.302,1133
323.81,1157
324.318,1144
324.823,1140
325.331,1138
325.839,1140
326.346,1141
326.852,1140
327.359,1140
327.867,1136
328.374,1144
328.88,1152
329.387,1143
329.895,1141
330.402,1145
330.907,1136
331.415,1139
331.922,1140
332.429,1142
332.935,1149
333.442,1134
333.949,1136
334.454,1144
334.961,1143
335.468,1152
335.973,1144
336.481,1128
336.988,1150
337.493,1138
338,1124
338.506,1143
339.011,1140
339.518,1146
340.023,1135
340.53,1146
341.037,1128
341.541,1118
342.048,1146
342.555,1132
343.06,1140
343.566,1134
344.071,1150
344.577,1142
345.082,1145
345.589,1140
346.095,1147
346.6,1144
347.106,1116
347.61,1145
348.117,1154
348.621,1154
349.128,1142
349.632,1156
350.138,1144
350.642,1132
351.149,1145
351.653,1129
352.159,1152
352.663,1152
353.169,1136
353.673,1135
354.179,1151
354.683,1145
355.189,1147
355.693,1148
356.199,1158
356.703,1145
357.209,1150
357.713,1156
358.219,1142
358.723,1154
359.226,1128
359.732,1152
360.236,1142
360.742,1141
361.245,1134
361.751,1153
362.255,1152
362.758,1151
363.264,1148
363.767,1140
364.271,1142
364.776,1134
365.28,1146
365.785,1140
366.289,1140
366.792,1158
367.297,1136
367.801,1161
368.304,1140
368.809,1142
369.312,1161
369.815,1126
370.321,1150
370.824,1148
371.327,1150
371.83,1142
372.335,1148
372.838,1139
373.341,1150
373.846,1150
374.349,1140
374.852,1148
375.355,1140
375.86,1148
376.362,1140
376.865,1150
377.368,1136
377.873,1132
378.376,1156
378.878,1138
379.381,1139
379.883,1146
380.388,1142
380.891,1142
381.393,1152
381.896,1148
382.398,1134
382.903,1160
383.405,1142
383.908,1136
384.41,1156
384.912,1158
385.415,1134
385.919,1154
386.421,1146
386.923,1135
387.426,1150
387.928,1141
388.43,1142
388.932,1165
389.434,1142
389.938,1137
390.44,1140
390.942,1151
391.444,1161
391.946,1150
392.448,1135
392.95,1147
393.452,1148
393.954,1156
394.456,1161
394.958,1122
395.459,1162
395.961,1147
396.463,1152
396.965,1150
397.466,1140
397.968,1154
398.469,1154
398.971,1140
399.473,1161
399.974,1145
400.476,1152
400.977,1132
401.479,1155
401.98,1150
402.481,1147
402.983,1170
403.484,1146
403.985,1142
404.487,1167
404.988,1136
405.489,1164
405.99,1154
406.491,1154
406.993,1159
407.494,1146
407.995,1142
408.496,1145
408.995,1152
409.496,1140
409.997,1158
410.498,1138
410.999,1135
411.5,1150
412,1146
412.501,1153
413.002,1140
413.501,1146
414.002,1140
414.502,1146
415.003,1150
415.504,1138
416.004,1136
416.503,1162
417.004,1139
417.504,1156
418.005,1150
418.505,1151
419.004,1157
419.504,1156
420.004,1146
420.505,1168
421.003,1152
421.504,1158
422.004,1146
422.504,1160
423.004,1145
423.503,1155
424.003,1151
424.503,1145
425.001,1150
425.501,1133
426.001,1153
426.501,1138
426.999,1157
427.499,1138
427.999,1156
428.497,1148
428.997,1149
429.497,1152
429.995,1172
430.495,1158
430.995,1139
431.493,1163
431.992,1149
432.492,1161
432.99,1154
433.489,1160
433.989,1155
434.487,1147
434.986,1166
435.486,1134
435.983,1148
436.483,1151
436.98,1154
437.48,1148
437.977,1142
438.477,1144
438.976,1156
439.473,1136
439.973,1156
440.47,1162
440.969,1148
441.467,1146
441.966,1151
442.465,1142
442.962,1153
443.461,1136
443.958,1160
444.457,1146
444.954,1156
445.453,1159
445.95,1151
446.449,1146
446.946,1152
447.445,1128
447.942,1157
448.441,1145
448.938,1160
449.437,1150
449.933,1156
450.43,1153
450.929,1144
451.426,1154
451.924,1152
452.421,1140
452.92,1143
453.416,1148
453.913,1138
454.411,1164
454.908,1158
455.406,1146
455.903,1138
456.399,1146
456.897,1145
457.394,1156
457.892,1140
458.388,1149
458.885,1128
459.383,1144
459.879,1168
460.375,1157
460.874,1128
461.37,1144
461.866,1124
462.364,1158
462.86,1168
463.356,1150
463.854,1148
464.35,1153
464.846,1148
465.342,1150
465.84,1148
466.336,1147
466.832,1146
467.329,1152
467.825,1154
468.321,1160
468.817,1149
469.314,1159.46
469.81,1166.33
470.306,1167.97
470.801,1174.22
471.297,1173.3
471.795,1171.83
472.29,1173.12
472.786,1172.75
473.281,1172.97
473.779,1172.33
474.274,1174.19
474.769,1168.61
475.265,1170
475.76,1149
476.256,1148
476.753,1166
477.248,1161
477.743,1156
478.239,1152
478.734,1165
479.229,1170
479.724,1140
480.221,1156
480.716,1163
481.211,1173
481.706,1157
482.201,1142
482.696,1149
483.191,1145
483.686,1156
484.181,1158
484.676,1156
485.171,1139
485.668,1160
486.163,1163
486.657,1151
487.152,1163
487.647,1166
488.141,1159
488.636,1156
489.131,1132
489.625,1155
490.12,1152
490.614,1146
491.109,1149
491.603,1148
492.098,1136
492.592,1153
493.087,1162
493.581,1146
494.076,1156
494.57,1169
495.064,1147
495.559,1168
496.053,1157
496.547,1158
497.041,1153
497.533,1150
498.027,1162
498.522,1150
499.016,1138
499.51,1164
500.004,1164
500.498,1158
500.992,1162
501.486,1149
501.98,1162
502.472,1159
502.965,1152
503.459,1148
503.953,1159
504.447,1158
504.941,1158
505.434,1161
505.926,1142
506.42,1146
506.913,1154
507.407,1148
507.901,1152
508.394,1144
508.886,1150
509.379,1146
509.873,1168
510.366,1144
510.86,1149
511.351,1162
511.845,1160
512.338,1164
512.831,1153
513.323,1162
513.816,1171
514.309,1151
514.802,1166
515.294,1144
515.787,1167
516.28,1161
516.771,1158
517.264,1158
517.757,1169
518.25,1154
518.741,1160
519.234,1160
519.727,1158
520.218,1148
520.711,1159
521.204,1158
521.695,1154
522.188,1155
522.681,1160
523.171,1150
523.664,1162
524.157,1147
524.647,1163
525.14,1154
525.631,1154
526.123,1152
526.616,1168
527.107,1160
527.599,1151
528.09,1169
528.582,1156
529.075,1155
529.565,1157
530.057,1165
530.548,1164
531.04,1163
531.53,1165
532.023,1162
532.515,1152
533.005,1164
533.497,1162
533.988,1178
534.48,1159
534.97,1170
535.462,1160
535.952,1156
536.444,1151
536.934,1170
537.426,1160
537.916,1160
538.408,1160
538.898,1150
539.388,1154
539.88,1146
540.37,1161
540.862,1171
541.351,1144
541.843,1172
542.333,1155
542.825,1168
543.314,1161
543.804,1166
544.296,1160
544.785,1175
545.277,1169
545.766,1166
546.256,1170
546.747,1172
547.237,1163
547.726,1186
548.218,1164
548.707,1177
549.198,1158
549.688,1161
550.177,1160
550.668,1164
551.158,1173
551.647,1172
552.136,1160
552.627,1161
553.116,1168
553.606,1172
554.097,1157
554.586,1167
555.075,1164
555.566,1147
556.055,1174
556.544,1164
557.033,1168
557.524,1171
558.013,1156
558.501,1164
558.99,1163
559.481,1179
559.97,1164
560.459,1165
560.947,1162
561.436,1176
561.927,1171
562.415,1164
562.904,1162
563.393,1180
563.881,1164
564.372,1175
564.86,1160
565.349,1151
565.837,1150
566.326,1173
566.814,1158
567.304,1152
567.793,1166
568.281,1170
568.769,1177
569.258,1157
569.746,1174
570.234,1168
570.722,1152
571.211,1166
571.701,1148
572.189,1160
572.677,1160
573.165,1176
573.653,1167
574.141,1164
574.629,1166
575.117,1152
575.605,1173
576.093,1170
576.581,1174
577.069,1166
577.557,1169
578.044,1160
578.532,1158
579.02,1154
579.508,1166
579.995,1154
580.483,1176
580.971,1158
581.458,1166
581.946,1180
582.433,1150
582.921,1164
583.409,1144
583.896,1157
584.383,1170
584.871,1167
585.358,1153
585.846,1173
586.333,1156
586.82,1154
587.306,1167
587.793,1166
588.28,1174
588.768,1146
589.255,1182
589.742,1164
590.229,1156
590.716,1149
591.203,1168
591.688,1157
592.175,1156
592.662,1168
593.149,1165
593.636,1162
594.123,1156
594.608,1160
595.095,1168
595.582,1168
596.069,1183
596.556,1167
597.043,1170
597.527,1169
598.014,1158
598.501,1170
598.987,1177
599.472,1164
599.959,1164
600.445,1172
600.932,1162
601.416,1164
601.903,1146
602.389,1134
602.876,1158
603.36,1159
603.847,1168
604.333,1140
604.82,1158
605.304,1153
605.79,1144
606.277,1163
606.761,1148
607.247,1172
607.733,1152
608.217,1162
608.704,1160
609.19,1144
609.674,1149
610.16,1148
610.646,1159
611.13,1162
611.616,1159
612.1,1160
612.586,1161
613.072,1152
613.556,1168
614.042,1163
614.526,1158
615.011,1165
615.497,1177
615.981,1156
616.467,1147
616.95,1160
617.436,1173
617.92,1167
618.405,1152
618.891,1138
619.375,1163
619.86,1152
620.344,1163
620.829,1171
621.313,1148
621.798,1155
622.282,1152
622.767,1170
623.25,1157
623.736,1162
624.219,1164
624.704,1166
625.188,1164
625.673,1150
626.156,1153
626.639,1152
627.125,1168
627.608,1152
628.093,1170
628.576,1141
629.061,1156
629.544,1154
630.027,1160
630.512,1151
630.995,1164
631.48,1174
631.963,1166
632.446,1154
632.931,1163
633.414,1151
633.898,1155
634.381,1160
634.864,1168
635.349,1152
635.831,1163
636.314,1170
636.799,1174
637.281,1160
637.764,1167
638.249,1159
638.731,1154
639.214,1162
639.696,1152
640.181,1151
640.663,1157
641.146,1166
641.63,1144
642.112,1152
642.595,1134
643.077,1154
643.561,1158
644.044,1152
644.526,1169
645.008,1161
645.492,1140
645.974,1172
646.456,1152
646.939,1174
647.421,1159
647.905,1152
648.387,1164
648.869,1168
649.351,1156
649.833,1171
650.317,1148
650.799,1154
651.281,1170
651.762,1161
652.244,1149
652.726,1136
653.208,1156
653.692,1152
654.173,1176
654.655,1157
655.137,1157
655.618,1164
656.1,1156
656.582,1176
657.063,1160
657.545,1174
658.028,1160
658.51,1163
658.991,1148
659.473,1162
659.954,1169
660.436,1153
660.917,1166
661.398,1144
661.88,1162
662.361,1150
662.842,1156
663.323,1162
663.805,1159
664.286,1148
664.767,1164
665.248,1161
665.729,1166
666.21,1162
666.691,1152
667.172,1170
667.654,1165
668.134,1166
668.615,1161
669.096,1163
669.577,1165
670.058,1150
670.539,1172
671.018,1153
671.499,1150
671.979,1176
672.46,1154
672.941,1165
673.422,1148
673.902,1150
674.383,1164
674.864,1161
675.344,1165
675.823,1160
676.303,1144
676.784,1161
677.264,1169
677.745,1152
678.225,1132
678.704,1174
679.184,1148
679.665,1158
680.145,1168
680.625,1150
681.104,1169
681.584,1174
682.064,1155
682.544,1162
683.025,1163
683.503,1168
683.983,1181
684.463,1154
684.943,1164
685.421,1159
685.901,1169
686.381,1167
686.861,1166
687.339,1169
687.819,1156
688.299,1160
688.779,1158
689.257,1160
689.737,1166
690.217,1156
690.694,1153
691.174,1153
691.654,1163
692.132,1144
692.611,1163
693.091,1175
693.569,1166
694.048,1161
694.528,1171
695.005,1148
695.485,1152
695.962,1160
696.442,1166
696.921,1157
697.399,1176
697.878,1161
698.356,1145
698.835,1173
699.314,1157
699.792,1150
700.271,1160
700.748,1143
701.227,1144
701.705,1164
702.184,1156
702.663,1166
703.14,1158
703.619,1158
704.096,1157
704.575,1159
705.052,1160
705.531,1156
706.008,1166
