400.412	1075
400.915	1092
401.417	1080
401.92	1087
402.421	1084
402.925	1083
403.426	1090
403.93	1095
404.431	1080
404.934	1084
405.435	1102
405.939	1090
406.44	1078
406.941	1085
407.444	1078
407.945	1075
408.448	1078
408.949	1084
409.453	1082
409.954	1078
410.454	1085
410.957	1086
411.458	1076
411.959	1077
412.462	1074
412.963	1080
413.466	1064
413.967	1072
414.467	1083
414.97	1075
415.471	1076
415.971	1079
416.474	1072
416.975	1072
417.475	1077
417.978	1078
418.478	1064
418.979	1067
419.481	1082
419.982	1076
420.482	1085
420.983	1062
421.485	1081
421.985	1068
422.486	1073
422.988	1081
423.488	1070
423.988	1075
424.489	1070
424.991	1072
425.491	1072
425.991	1062
426.491	1066
426.991	1080
427.493	1070
427.993	1069
428.493	1078
428.993	1076
429.495	1077
429.995	1072
430.495	1080
430.995	1076
431.495	1080
431.994	1083
432.496	1080
432.996	1085
433.496	1064
433.995	1088
434.495	1082
434.995	1087
435.494	1089
435.996	1085
436.495	1072
436.995	1078
437.494	1083
437.994	1070
438.493	1090
438.993	1084
439.492	1096
439.991	1090
440.493	1084
440.992	1094
441.491	1090
441.99	1092
442.49	1090
442.989	1100
443.488	1098
443.987	1100
444.486	1091
444.985	1106
445.484	1106
445.983	1096
446.482	1105
446.981	1084
447.48	1101
447.979	1098
448.478	1106
448.977	1091
449.476	1084
449.974	1106
450.473	1096
450.972	1104
451.471	1101
451.969	1105
452.468	1109
452.967	1112
453.465	1092
453.964	1106
454.462	1110
454.961	1118
455.457	1116
455.956	1124
456.454	1123
456.953	1126
457.451	1128
457.95	1125
458.448	1135
458.946	1140
459.445	1116
459.943	1130
460.439	1107
460.937	1132
461.435	1110
461.933	1130
462.432	1106
462.93	1118
463.428	1118
463.924	1096
464.422	1098
464.92	1097
465.418	1097
465.916	1098
466.412	1098
466.909	1088
467.407	1103
467.905	1086
468.403	1082
468.899	1083
469.396	1080
469.894	1072
470.392	1087
470.887	1076
471.385	1086
471.883	1097
472.38	1147
472.876	1259
473.373	1445
473.871	1660
474.368	1824
474.864	1870
475.361	1931
475.858	1821
476.354	1632
476.851	1422
477.348	1210
477.844	1111
478.341	1070
478.838	1092
479.333	1074
479.831	1076
480.328	1072
480.823	1074
481.32	1066
481.817	1075
482.312	1075
482.809	1073
483.306	1081
483.801	1075
484.298	1076
484.793	1070
485.289	1077
485.786	1080
486.281	1082
486.778	1072
487.273	1071
487.769	1078
488.266	1075
488.761	1082
489.257	1072
489.752	1082
490.249	1082
490.743	1083
491.24	1068
491.734	1084
492.231	1081
492.725	1066
493.222	1072
493.716	1082
494.212	1073
494.707	1072
495.203	1080
495.697	1071
496.194	1080
496.688	1070
497.184	1080
497.678	1076
498.174	1074
498.669	1080
499.165	1077
499.659	1076
500.155	1082
500.649	1081
501.143	1071
501.639	1075
502.133	1076
502.629	1081
503.123	1081
503.618	1068
504.112	1078
504.606	1087
505.102	1080
