400.412	1114
400.915	1124
401.417	1136
401.92	1118
402.421	1120
402.925	1132
403.426	1111
403.93	1121
404.431	1143
404.934	1135
405.435	1133
405.939	1116
406.44	1118
406.941	1112
407.444	1106
407.945	1102
408.448	1116
408.949	1094
409.453	1094
409.954	1101
410.454	1107
410.957	1090
411.458	1099
411.959	1101
412.462	1092
412.963	1080
413.466	1084
413.967	1089
414.467	1085
414.97	1087
415.471	1090
415.971	1088
416.474	1064
416.975	1090
417.475	1100
417.978	1081
418.478	1094
418.979	1080
419.481	1089
419.982	1086
420.482	1089
420.983	1081
421.485	1081
421.985	1092
422.486	1089
422.988	1091
423.488	1081
423.988	1086
424.489	1078
424.991	1087
425.491	1069
425.991	1072
426.491	1084
426.991	1080
427.493	1082
427.993	1080
428.493	1084
428.993	1084
429.495	1080
429.995	1096
430.495	1092
430.995	1082
431.495	1095
431.994	1094
432.496	1084
432.996	1098
433.496	1092
433.995	1090
434.495	1092
434.995	1103
435.494	1102
435.996	1089
436.495	1110
436.995	1094
437.494	1104
437.994	1103
438.493	1110
438.993	1117
439.492	1114
439.991	1106
440.493	1128
440.992	1106
441.491	1108
441.99	1122
442.49	1128
442.989	1130
443.488	1110
443.987	1140
444.486	1125
444.985	1111
445.484	1118
445.983	1135
446.482	1126
446.981	1139
447.48	1120
447.979	1126
448.478	1117
448.977	1129
449.476	1128
449.974	1132
450.473	1126
450.972	1140
451.471	1153
451.969	1164
452.468	1168
452.967	1167
453.465	1158
453.964	1157
454.462	1164
454.961	1166
455.457	1189
455.956	1185
456.454	1198
456.953	1217
457.451	1201
457.95	1224
458.448	1214
458.946	1226
459.445	1207
459.943	1209
460.439	1198
460.937	1198
461.435	1178
461.933	1194
462.432	1184
462.93	1171
463.428	1165
463.924	1145
464.422	1140
464.92	1131
465.418	1131
465.916	1134
466.412	1115
466.909	1114
467.407	1125
467.905	1112
468.403	1112
468.899	1111
469.396	1105
469.894	1106
470.392	1098
470.887	1102
471.385	1114
471.883	1102
472.38	1120
472.876	1192
473.373	1330
473.871	1496
474.368	1696
474.864	1805
475.361	1862
475.858	1791
476.354	1647
476.851	1468
477.348	1286
477.844	1146
478.341	1092
478.838	1106
479.333	1088
479.831	1102
480.328	1097
480.823	1074
481.32	1098
481.817	1107
482.312	1084
482.809	1086
483.306	1092
483.801	1087
484.298	1099
484.793	1076
485.289	1088
485.786	1087
486.281	1082
486.778	1066
487.273	1090
487.769	1091
488.266	1082
488.761	1082
489.257	1089
489.752	1090
490.249	1084
490.743	1091
491.24	1098
491.734	1094
492.231	1094
492.725	1083
493.222	1089
493.716	1088
494.212	1090
494.707	1092
495.203	1072
495.697	1088
496.194	1086
496.688	1091
497.184	1086
497.678	1089
498.174	1090
498.669	1097
499.165	1090
499.659	1080
500.155	1097
500.649	1087
501.143	1072
501.639	1095
502.133	1102
502.629	1082
503.123	1099
503.618	1095
504.112	1087
504.606	1091
505.102	1093
505.596	1098
506.089	1091
506.585	1101
507.079	1092
507.574	1090
508.068	1081
508.562	1100
509.057	1099
509.551	1085
510.044	1108
510.54	1092
511.033	1094
511.527	1091
512.022	1103
512.515	1105
513.009	1100
513.502	1095
513.997	1102
514.491	1093
514.984	1097
515.479	1105
515.972	1088
516.465	1087
516.959	1086
517.454	1098
517.947	1095
518.44	1088
518.933	1106
519.428	1091
519.921	1104
520.414	1088
520.907	1106
521.4	1105
521.894	1104
522.387	1096
522.88	1104
523.373	1110
523.866	1097
524.36	1118
524.853	1121
525.346	1128
525.838	1128
526.331	1118
526.824	1136
527.318	1140
527.811	1141
528.303	1140
528.796	1171
529.288	1175
529.781	1179
530.273	1187
530.765	1208
531.258	1192
531.752	1226
532.245	1234
532.737	1264
533.229	1272
533.721	1289
534.213	1279
534.706	1262
535.198	1283
535.69	1276
536.182	1256
536.674	1236
537.166	1245
537.658	1226
538.15	1213
538.642	1231
539.134	1199
539.626	1196
540.118	1186
540.61	1173
541.101	1163
541.593	1150
542.085	1151
542.577	1138
543.068	1142
543.56	1143
544.052	1123
544.543	1123
545.035	1108
545.527	1124
546.018	1099
546.51	1112
547.001	1102
547.493	1113
547.984	1102
548.474	1097
548.965	1098
549.456	1095
549.948	1100
550.439	1088
550.93	1086
551.422	1092
551.913	1088
552.404	1084
552.893	1093
553.384	1090
553.875	1094
554.367	1091
554.858	1083
555.349	1082
555.838	1080
556.329	1082
556.82	1086
557.311	1084
557.802	1080
558.292	1088
558.781	1088
559.272	1082
559.763	1080
560.254	1070
560.742	1086
561.233	1074
561.724	1070
562.215	1086
562.703	1075
563.194	1068
563.685	1087
564.175	1072
564.664	1065
565.154	1074
565.645	1082
566.135	1091
566.624	1076
567.114	1080
567.604	1076
568.093	1075
568.583	1072
569.073	1085
569.562	1081
570.052	1076
570.542	1083
571.03	1073
571.521	1077
572.011	1084
572.499	1070
572.989	1073
573.479	1081
573.967	1086
574.457	1076
574.945	1070
575.435	1076
575.925	1082
576.413	1070
576.903	1072
577.391	1070
577.88	1092
578.37	1076
578.858	1069
579.348	1079
579.835	1075
580.325	1081
580.813	1072
581.302	1084
581.79	1074
582.28	1074
582.767	1068
583.257	1074
583.746	1073
584.234	1068
584.723	1076
585.211	1071
585.7	1076
586.188	1074
586.675	1082
587.164	1081
587.651	1056
588.141	1072
588.628	1078
589.117	1073
589.604	1054
590.094	1074
590.581	1086
591.07	1072
591.557	1082
592.044	1074
592.533	1070
593.02	1070
593.509	1089
593.996	1074
594.483	1082
594.972	1082
595.459	1087
595.948	1071
596.435	1074
596.921	1083
597.41	1076
597.897	1072
