Raman Shift (1/cm),Intensity (Counts)
302.468,1192
302.977,1198
303.486,1206
303.995,1202
304.503,1198
305.012,1217
305.521,1205
306.03,1190
306.538,1208
307.047,1198
307.556,1210
308.064,1206
308.573,1176
309.082,1202
309.59,1190
310.097,1208
310.605,1198
311.114,1212
311.622,1210
312.13,1207
312.639,1207
313.147,1202
313.655,1202
314.164,1208
314.672,1203
315.18,1197
315.686,1194
316.195,1212
316.703,1201
317.211,1212
317.719,1229
318.227,1203
318.735,1217
319.241,1205
319.749,1211
320.257,1208
320.765,1210
321.273,1212
321.781,1202
322.287,1200
322.794,1198
323.302,1195
323.81,1198
324.318,1208
324.823,1196
325.331,1209
325.839,1194
326.346,1198
326.852,1196
327.359,1216
327.867,1204
328.374,1204
328.88,1192
329.387,1216
329.895,1205
330.402,1186
330.907,1219
331.415,1226
331.922,1208
332.429,1200
332.935,1198
333.442,1221
333.949,1209
334.454,1217
334.961,1206
335.468,1199
335.973,1214
336.481,1198
336.988,1207
337.493,1208
338,1194
338.506,1219
339.011,1211
339.518,1207
340.023,1218
340.53,1212
341.037,1208
341.541,1214
342.048,1210
342.555,1207
343.06,1198
343.566,1227
344.071,1236
344.577,1204
345.082,1227
345.589,1231
346.095,1200
346.6,1206
347.106,1211
347.61,1199
348.117,1216
348.621,1213
349.128,1218
349.632,1210
350.138,1217
350.642,1205
351.149,1220
351.653,1192
352.159,1239
352.663,1226
353.169,1213
353.673,1214
354.179,1220
354.683,1220
355.189,1220
355.693,1215
356.199,1211
356.703,1202
357.209,1213
357.713,1203
358.219,1214
358.723,1194
359.226,1223
359.732,1208
360.236,1216
360.742,1206
361.245,1222
361.751,1186
362.255,1210
362.758,1217
363.264,1213
363.767,1221
364.271,1210
364.776,1202
365.28,1220
365.785,1206
366.289,1217
366.792,1222
367.297,1212
367.801,1190
368.304,1224
368.809,1221
369.312,1220
369.815,1210
370.321,1206
370.824,1210
371.327,1212
371.83,1213
372.335,1209
372.838,1215
373.341,1204
373.846,1232
374.349,1198
374.852,1211
375.355,1194
375.86,1210
376.362,1220
376.865,1224
377.368,1215
377.873,1226
378.376,1208
378.878,1224
379.381,1223
379.883,1228
380.388,1210
380.891,1224
381.393,1224
381.896,1220
382.398,1218
382.903,1226
383.405,1229
383.908,1219
384.41,1214
384.912,1224
385.415,1228
385.919,1224
386.421,1222
386.923,1212
387.426,1228
387.928,1213
388.43,1234
388.932,1231
389.434,1233
389.938,1228
390.44,1230
390.942,1226
391.444,1224
391.946,1243
392.448,1218
392.95,1238
393.452,1234
393.954,1216
394.456,1239
394.958,1242
395.459,1222
395.961,1246
396.463,1216
396.965,1249
397.466,1250
397.968,1254
398.469,1265
398.971,1236
399.473,1250
399.974,1248
400.476,1224
400.977,1249
401.479,1249
401.98,1245
402.481,1234
402.983,1244
403.484,1254
403.985,1246
404.487,1247
404.988,1225
405.489,1237
405.99,1236
406.491,1252
406.993,1249
407.494,1232
407.995,1223
408.496,1226
408.995,1232
409.496,1221
409.997,1232
410.498,1217
410.999,1220
411.5,1214
412,1234
412.501,1240
413.002,1231
413.501,1236
414.002,1216
414.502,1241
415.003,1222
415.504,1231
416.004,1227
416.503,1228
417.004,1219
417.504,1230
418.005,1198
418.505,1213
419.004,1221
419.504,1230
420.004,1237
420.505,1206
421.003,1214
421.504,1220
422.004,1240
422.504,1216
423.004,1237
423.503,1234
424.003,1232
424.503,1223
425.001,1226
425.501,1234
426.001,1213
426.501,1234
426.999,1214
427.499,1230
427.999,1237
428.497,1237
428.997,1230
429.497,1214
429.995,1227
430.495,1208
430.995,1226
431.493,1219
431.992,1236
432.492,1218
432.99,1238
433.489,1234
433.989,1225
434.487,1240
434.986,1240
435.486,1224
435.983,1218
436.483,1244
436.98,1234
437.48,1208
437.977,1229
438.477,1222
438.976,1226
439.473,1245
439.973,1230
440.47,1236
440.969,1215
441.467,1249
441.966,1237
442.465,1247
442.962,1240
443.461,1254
443.958,1244
444.457,1235
444.954,1240
445.453,1235
445.95,1230
446.449,1225
446.946,1220
447.445,1248
447.942,1243
448.441,1230
448.938,1236
449.437,1235
449.933,1228
450.43,1226
450.929,1219
451.426,1236
451.924,1233
452.421,1234
452.92,1233
453.416,1233
453.913,1237
454.411,1229
454.908,1232
455.406,1217
455.903,1220
456.399,1220
456.897,1212
457.394,1222
457.892,1220
458.388,1231
458.885,1229
459.383,1225
459.879,1231
460.375,1230
460.874,1223
461.37,1213
461.866,1222
462.364,1238
462.86,1214
463.356,1233
463.854,1241
464.35,1240
464.846,1221
465.342,1250
465.84,1216
466.336,1238
466.832,1224
467.329,1244
467.825,1232
468.321,1244
468.817,1226
469.314,1218
469.81,1236
470.306,1226.67
470.801,1226.89
471.297,1229.85
471.795,1227.8
472.29,1228.18
472.786,1228.61
473.281,1228.2
473.779,1228.33
474.274,1234.04
474.769,1236.31
475.265,1251
475.76,1240
476.256,1245
476.753,1243
477.248,1220
477.743,1235
478.239,1216
478.734,1228
479.229,1223
479.724,1236
480.221,1220
480.716,1244
481.211,1229
481.706,1217
482.201,1220
482.696,1232
483.191,1223
483.686,1235
484.181,1221
484.676,1246
485.171,1222
485.668,1240
486.163,1230
486.657,1233
487.152,1228
487.647,1233
488.141,1237
488.636,1234
489.131,1232
489.625,1222
490.12,1239
490.614,1224
491.109,1232
491.603,1251
492.098,1220
492.592,1229
493.087,1235
493.581,1218
494.076,1252
494.57,1212
495.064,1215
495.559,1227
496.053,1236
496.547,1227
497.041,1243
497.533,1238
498.027,1230
498.522,1236
499.016,1233
499.51,1210
500.004,1239
500.498,1238
500.992,1228
501.486,1237
501.98,1222
502.472,1240
502.965,1223
503.459,1222
503.953,1216
504.447,1227
504.941,1230
505.434,1234
505.926,1235
506.42,1230
506.913,1230
507.407,1244
507.901,1245
508.394,1248
508.886,1233
509.379,1236
509.873,1235
510.366,1239
510.86,1226
511.351,1247
511.845,1238
512.338,1216
512.831,1240
513.323,1240
513.816,1238
514.309,1214
514.802,1229
515.294,1236
515.787,1234
516.28,1264
516.771,1244
517.264,1246
517.757,1227
518.25,1242
518.741,1222
519.234,1248
519.727,1243
520.218,1218
520.711,1259
521.204,1226
521.695,1252
522.188,1266
522.681,1245
523.171,1242
523.664,1247
524.157,1239
524.647,1230
525.14,1240
525.631,1244
526.123,1242
526.616,1236
527.107,1255
527.599,1256
528.09,1245
528.582,1266
529.075,1266
529.565,1251
530.057,1228
530.548,1252
531.04,1252
531.53,1274
532.023,1267
532.515,1279
533.005,1268
533.497,1255
533.988,1295
534.48,1300
534.97,1276
535.462,1301
535.952,1288
536.444,1273
536.934,1266
537.426,1279
537.916,1264
538.408,1262
538.898,1249
539.388,1253
539.88,1256
540.37,1256
540.862,1258
541.351,1272
541.843,1258
542.333,1271
542.825,1286
543.314,1272
543.804,1289
544.296,1317
544.785,1324
545.277,1330
545.766,1354
546.256,1361
546.747,1370
547.237,1330
547.726,1337
548.218,1305
548.707,1290
549.198,1286
549.688,1298
550.177,1257
550.668,1290
551.158,1244
551.647,1265
552.136,1244
552.627,1241
553.116,1274
553.606,1252
554.097,1264
554.586,1248
555.075,1254
555.566,1261
556.055,1240
556.544,1247
557.033,1239
557.524,1252
558.013,1240
558.501,1252
558.99,1250
559.481,1275
559.97,1244
560.459,1245
560.947,1238
561.436,1255
