Raman Shift (1/cm),Intensity (Counts)
528.582,1568
529.075,1561
529.565,1576
530.057,1587
530.548,1628
531.04,1622
531.53,1669
532.023,1663
532.515,1719
533.005,1779
533.497,1824
533.988,1850
534.48,1870
534.97,1934
535.462,1926
535.952,1838
536.444,1800
536.934,1765
537.426,1714
537.916,1684
538.408,1636
538.898,1647
539.388,1600
539.88,1636
540.37,1594
540.862,1645
541.351,1632
541.843,1624
542.333,1675
542.825,1675
543.314,1732
543.804,1810
544.296,1796
544.785,1916
545.277,1966
545.766,2130
546.256,2218
546.747,2202
547.237,2187
547.726,2134
548.218,2042
548.707,1998
549.198,1893
549.688,1839
550.177,1774
550.668,1736
551.158,1679
551.647,1657
552.136,1595
552.627,1625
553.116,1592
553.606,1587
554.097,1553
554.586,1546
555.075,1560
555.566,1582
556.055,1540
556.544,1530
557.033,1526
557.524,1534
558.013,1531
558.501,1500
558.99,1528
559.481,1504
559.97,1500
560.459,1523
560.947,1533
561.436,1487
561.927,1514
562.415,1536
562.904,1518
563.393,1512
563.881,1560
564.372,1544
564.86,1537
565.349,1530
565.837,1541
566.326,1545
566.814,1568
567.304,1560
567.793,1514
568.281,1538
568.769,1512
569.258,1521
569.746,1517
570.234,1515
570.722,1508
571.211,1548
571.701,1504
572.189,1514
572.677,1521
573.165,1515
573.653,1514
574.141,1522
574.629,1522
575.117,1523
575.605,1543
576.093,1533
576.581,1514
577.069,1509
577.557,1519
578.044,1502
578.532,1509
579.02,1521
579.508,1548
579.995,1486
580.483,1495
580.971,1472
581.458,1536
581.946,1517
582.433,1497
582.921,1536
583.409,1536
583.896,1529
584.383,1521
584.871,1512
585.358,1505
585.846,1555
586.333,1525
586.82,1523
587.306,1523
587.793,1550
588.28,1553
588.768,1530
589.255,1605
589.742,1536
590.229,1554
590.716,1548
591.203,1587
591.688,1585
592.175,1607
592.662,1595
593.149,1650
593.636,1665
594.123,1682
594.608,1738
595.095,1784
595.582,1924
596.069,2070
596.556,2307
597.043,2465
597.527,2558
598.014,2469
598.501,2212
598.987,1984
599.472,1843
599.959,1759
600.445,1634
600.932,1647
601.416,1596
601.903,1595
602.389,1559
602.876,1561
603.36,1562
603.847,1525
604.333,1538
604.82,1516
605.304,1504
605.79,1512
606.277,1500
606.761,1484
607.247,1512
607.733,1508
608.217,1494
608.704,1517
609.19,1513
609.674,1522
610.16,1513
610.646,1512
611.13,1538
611.616,1531
612.1,1513
612.586,1522
613.072,1478
613.556,1510
614.042,1534
614.526,1495
615.011,1510
615.497,1504
615.981,1522
616.467,1504
616.95,1495
617.436,1514
617.92,1480
618.405,1508
618.891,1506
619.375,1485
619.86,1494
620.344,1511
620.829,1495
621.313,1515
621.798,1494
622.282,1509
622.767,1484
623.25,1488
623.736,1501
624.219,1518
624.704,1533
625.188,1492
625.673,1497
626.156,1496
626.639,1484
627.125,1454
627.608,1514
628.093,1487
628.576,1488
629.061,1492
629.544,1489
630.027,1498
630.512,1498
630.995,1520
631.48,1510
631.963,1501
632.446,1490
632.931,1476
633.414,1504
633.898,1482
634.381,1512
634.864,1498
635.349,1489
635.831,1479
636.314,1495
636.799,1511
637.281,1519
637.764,1496
638.249,1506
638.731,1536
639.214,1481
639.696,1477
640.181,1517
640.663,1484
641.146,1507
641.63,1509
642.112,1503
642.595,1515
643.077,1504
643.561,1489
644.044,1521
644.526,1519
645.008,1515
645.492,1519
645.974,1506
646.456,1487
646.939,1519
647.421,1487
647.905,1496
648.387,1517
648.869,1524
649.351,1498
649.833,1497
650.317,1524
650.799,1524
651.281,1470
651.762,1487
652.244,1507
652.726,1520
653.208,1514
653.692,1520
654.173,1486
654.655,1512
