Raman Shift (1/cm),Intensity (Counts)
528.09,2953
528.582,2949
529.075,2971
529.565,3016
530.057,2965
530.548,3027
531.04,3032
531.53,3014
532.023,3105
532.515,3064
533.005,3087
533.497,3165
533.988,3182
534.48,3121
534.97,3168
535.462,3117
535.952,3155
536.444,3107
536.934,3074
537.426,3017
537.916,3023
538.408,3055
538.898,3007
539.388,3084
539.88,3083
540.37,2995
540.862,3019
541.351,3076
541.843,3037
542.333,3011
542.825,3065
543.314,3119
543.804,3100
544.296,3156
544.785,3269
545.277,3297
545.766,3333
546.256,3399
546.747,3323
547.237,3285
547.726,3231
548.218,3187
548.707,3196
549.198,3104
549.688,3115
550.177,3118
550.668,3114
551.158,3017
551.647,3024
552.136,3001
552.627,3007
553.116,3093
553.606,3004
554.097,2972
554.586,2980
555.075,2970
555.566,2998
556.055,3026
556.544,2983
557.033,2922
557.524,2981
558.013,2931
558.501,3002
558.99,3013
559.481,2970
559.97,2982
560.459,2975
560.947,2983
561.436,2960
561.927,2977
562.415,3007
562.904,2963
563.393,2966
563.881,3004
564.372,2943
564.86,2999
565.349,2979
565.837,3032
566.326,2997
566.814,2956
567.304,2966
567.793,3002
568.281,3047
568.769,3005
569.258,2964
569.746,2968
570.234,3020
570.722,3050
571.211,2966
571.701,2985
572.189,2960
572.677,2973
573.165,3046
573.653,2980
574.141,2952
574.629,2977
575.117,2937
575.605,3038
576.093,2983
576.581,2959
577.069,2965
577.557,2973
578.044,3049
578.532,3079
579.02,2957
579.508,2950
579.995,2987
580.483,2998
580.971,2965
581.458,3005
581.946,3034
582.433,2997
582.921,2939
583.409,2989
583.896,3005
584.383,2963
584.871,2991
585.358,3006
585.846,2962
586.333,3012
586.82,2997
587.306,2970
587.793,3049
588.28,2992
588.768,3031
589.255,2991
589.742,3006
590.229,3026
590.716,3051
591.203,3009
591.688,2993
592.175,3054
592.662,3037
593.149,3008
593.636,3028
594.123,3078
594.608,3110
595.095,3176
595.582,3209
596.069,3311
596.556,3328
597.043,3368
597.527,3389
598.014,3290
598.501,3254
598.987,3112
599.472,3049
599.959,3055
600.445,3004
600.932,2986
601.416,2932
601.903,3051
602.389,2920
602.876,2972
603.36,2927
603.847,2977
604.333,2976
604.82,2952
605.304,2995
605.79,3005
606.277,2973
606.761,2923
607.247,2922
607.733,2970
608.217,2926
608.704,2972
609.19,3004
609.674,2960
610.16,2945
610.646,2916
611.13,2969
611.616,2946
612.1,2982
612.586,2995
613.072,2975
613.556,3016
614.042,2995
614.526,2921
615.011,2965
615.497,2986
615.981,2964
616.467,2988
616.95,2950
617.436,2968
617.92,2943
618.405,2947
618.891,2915
619.375,2994
619.86,2979
620.344,2932
620.829,2936
621.313,2930
621.798,3028
622.282,2922
622.767,2998
623.25,2973
623.736,2976
624.219,2949
624.704,2911
625.188,2990
